"","flag","wave","estimate","p_value"
"1","si_integral","1","0.26","<0.0001"
"2","si_integral","2","0.0019","0.98"
"3","si_integral","all","0.25","<0.0001"
"4","si_integral","class","0.017","0.79"
"5","last_tests_per_10k","1","0.26","<0.0001"
"6","last_tests_per_10k","2","0.31","<0.0001"
"7","last_tests_per_10k","all","0.44","<0.0001"
"8","last_tests_per_10k","class","0.14","0.043"
"9","si_response_time","1","0.22","0.00034"
"10","si_response_time","2","0.22","0.00084"
"11","si_response_time","all","0.25","<0.0001"
"12","si_response_time","class","0.084","0.22"
"13","c1_response_time","1","0.21","0.00058"
"14","c1_response_time","2","0.25","0.00016"
"15","c1_response_time","all","0.29","<0.0001"
"16","c1_response_time","class","0.11","0.12"
"17","c2_response_time","1","0.12","0.082"
"18","c2_response_time","2","0.24","0.0011"
"19","c2_response_time","all","0.21","0.0025"
"20","c2_response_time","class","0.16","0.037"
"21","c3_response_time","1","0.25","<0.0001"
"22","c3_response_time","2","0.23","0.00044"
"23","c3_response_time","all","0.3","<0.0001"
"24","c3_response_time","class","0.14","0.037"
"25","c4_response_time","1","0.0062","0.92"
"26","c4_response_time","2","0.099","0.16"
"27","c4_response_time","all","0.053","0.41"
"28","c4_response_time","class","0.083","0.24"
"29","c5_response_time","1","0.16","0.043"
"30","c5_response_time","2","0.16","0.069"
"31","c5_response_time","all","0.22","0.0042"
"32","c5_response_time","class","0.081","0.34"
"33","c6_response_time","1","0.14","0.039"
"34","c6_response_time","2","0.16","0.026"
"35","c6_response_time","all","0.18","0.0048"
"36","c6_response_time","class","0.094","0.19"
"37","c7_response_time","1","0.19","0.0025"
"38","c7_response_time","2","0.22","0.0019"
"39","c7_response_time","all","0.25","<0.0001"
"40","c7_response_time","class","0.11","0.12"
"41","c8_response_time","1","0.24","0.00028"
"42","c8_response_time","2","0.083","0.26"
"43","c8_response_time","all","0.24","0.00043"
"44","c8_response_time","class","0.081","0.26"
"45","h2_response_time","1","0.15","0.039"
"46","h2_response_time","2","0.014","0.86"
"47","h2_response_time","all","0.078","0.29"
"48","h2_response_time","class","-0.044","0.59"
"49","h3_response_time","1","0.18","0.0094"
"50","h3_response_time","2","0.044","0.55"
"51","h3_response_time","all","0.072","0.28"
"52","h3_response_time","class","0.092","0.21"
"53","testing_response_time_1","1","0.32","<0.0001"
"54","testing_response_time_1","2","0.085","0.28"
"55","testing_response_time_1","all","0.27","2e-04"
"56","testing_response_time_1","class","-0.036","0.65"
"57","testing_response_time_10","1","0.22","0.0024"
"58","testing_response_time_10","2","-0.017","0.83"
"59","testing_response_time_10","all","0.15","0.042"
"60","testing_response_time_10","class","-0.076","0.34"
"61","testing_response_time_100","1","-0.0054","0.94"
"62","testing_response_time_100","2","-0.2","0.01"
"63","testing_response_time_100","all","-0.13","0.082"
"64","testing_response_time_100","class","-0.076","0.34"
"65","testing_response_time_1000","1","0.016","0.85"
"66","testing_response_time_1000","2","-0.14","0.11"
"67","testing_response_time_1000","all","-0.029","0.73"
"68","testing_response_time_1000","class","-0.037","0.68"
