,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
25116,Costa Rica,CRI,2020-01-03,0.0,,0.0,
25117,Costa Rica,CRI,2020-01-04,0.0,,0.0,
25118,Costa Rica,CRI,2020-01-05,0.0,,0.0,
25119,Costa Rica,CRI,2020-01-06,0.0,,0.0,
25120,Costa Rica,CRI,2020-01-07,0.0,,0.0,
25121,Costa Rica,CRI,2020-01-08,0.0,,0.0,
25122,Costa Rica,CRI,2020-01-09,0.0,,0.0,
25123,Costa Rica,CRI,2020-01-10,0.0,,0.0,
25124,Costa Rica,CRI,2020-01-11,0.0,,0.0,
25125,Costa Rica,CRI,2020-01-12,0.0,,0.0,
25126,Costa Rica,CRI,2020-01-13,0.0,,0.0,
25127,Costa Rica,CRI,2020-01-14,0.0,,0.0,
25128,Costa Rica,CRI,2020-01-15,0.0,,0.0,
25129,Costa Rica,CRI,2020-01-16,0.0,0.0,0.0,0.0
25130,Costa Rica,CRI,2020-01-17,0.0,0.0,0.0,0.0
25131,Costa Rica,CRI,2020-01-18,0.0,0.0,0.0,0.0
25132,Costa Rica,CRI,2020-01-19,0.0,0.0,0.0,0.0
25133,Costa Rica,CRI,2020-01-20,0.0,0.0,0.0,0.0
25134,Costa Rica,CRI,2020-01-21,0.0,0.0,0.0,0.0
25135,Costa Rica,CRI,2020-01-22,0.0,0.0,0.0,0.0
25136,Costa Rica,CRI,2020-01-23,0.0,0.0,0.0,0.0
25137,Costa Rica,CRI,2020-01-24,0.0,0.0,0.0,0.0
25138,Costa Rica,CRI,2020-01-25,0.0,0.0,0.0,0.0
25139,Costa Rica,CRI,2020-01-26,0.0,0.0,0.0,0.0
25140,Costa Rica,CRI,2020-01-27,0.0,0.0,0.0,0.0
25141,Costa Rica,CRI,2020-01-28,0.0,0.0,0.0,0.0
25142,Costa Rica,CRI,2020-01-29,0.0,0.0,0.0,0.0
25143,Costa Rica,CRI,2020-01-30,0.0,0.0,0.0,0.0
25144,Costa Rica,CRI,2020-01-31,0.0,0.0,0.0,0.0
25145,Costa Rica,CRI,2020-02-01,0.0,0.0,0.0,0.0
25146,Costa Rica,CRI,2020-02-02,0.0,0.0,0.0,0.0
25147,Costa Rica,CRI,2020-02-03,0.0,0.0,0.0,0.0
25148,Costa Rica,CRI,2020-02-04,0.0,0.0,0.0,0.0
25149,Costa Rica,CRI,2020-02-05,0.0,0.0,0.0,0.0
25150,Costa Rica,CRI,2020-02-06,0.0,0.0,0.0,0.0
25151,Costa Rica,CRI,2020-02-07,0.0,0.0,0.0,0.0
25152,Costa Rica,CRI,2020-02-08,0.0,0.0,0.0,0.0
25153,Costa Rica,CRI,2020-02-09,0.0,0.0,0.0,0.0
25154,Costa Rica,CRI,2020-02-10,0.0,0.0,0.0,0.0
25155,Costa Rica,CRI,2020-02-11,0.0,0.0,0.0,0.0
25156,Costa Rica,CRI,2020-02-12,0.0,0.0,0.0,0.0
25157,Costa Rica,CRI,2020-02-13,0.0,0.0,0.0,0.0
25158,Costa Rica,CRI,2020-02-14,0.0,0.0,0.0,0.0
25159,Costa Rica,CRI,2020-02-15,0.0,0.0,0.0,0.0
25160,Costa Rica,CRI,2020-02-16,0.0,0.0,0.0,0.0
25161,Costa Rica,CRI,2020-02-17,0.0,0.0,0.0,0.0
25162,Costa Rica,CRI,2020-02-18,0.0,0.0,0.0,0.0
25163,Costa Rica,CRI,2020-02-19,0.0,0.0,0.0,0.0
25164,Costa Rica,CRI,2020-02-20,0.0,0.0,0.0,0.0
25165,Costa Rica,CRI,2020-02-21,0.0,0.0,0.0,0.0
25166,Costa Rica,CRI,2020-02-22,0.0,0.0,0.0,0.0
25167,Costa Rica,CRI,2020-02-23,0.0,0.0,0.0,0.0
25168,Costa Rica,CRI,2020-02-24,0.0,0.0,0.0,0.0
25169,Costa Rica,CRI,2020-02-25,0.0,0.0,0.0,0.0
25170,Costa Rica,CRI,2020-02-26,0.0,0.0,0.0,0.0
25171,Costa Rica,CRI,2020-02-27,0.0,0.0,0.0,0.0
25172,Costa Rica,CRI,2020-02-28,0.0,0.0,0.0,0.0
25173,Costa Rica,CRI,2020-02-29,0.0,0.0,0.0,0.0
25174,Costa Rica,CRI,2020-03-01,0.0,0.0,0.0,0.0
25175,Costa Rica,CRI,2020-03-02,0.0,0.0,0.0,0.0
25176,Costa Rica,CRI,2020-03-03,0.0,0.0,0.0,0.0
25177,Costa Rica,CRI,2020-03-04,0.0,0.0,0.0,0.0
25178,Costa Rica,CRI,2020-03-05,0.0,0.0,0.0,0.0
25179,Costa Rica,CRI,2020-03-06,0.0,0.0,0.0,0.0
25180,Costa Rica,CRI,2020-03-07,0.0,0.0,0.0,0.0
25181,Costa Rica,CRI,2020-03-08,9.0,0.6428571428571429,0.0,0.0
25182,Costa Rica,CRI,2020-03-09,4.0,0.9285714285714286,0.0,0.0
