,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
0,4.0,Aruba,ABW,45.0,106314.0,14586.725,2020-09-01,0.0,1.0,2020-11-22,2020-03-17,EPI_SECOND_WAVE,27435.510000000002,10.064525838553719,0.0,-156.0,-169.0,-156.0,-156.0,-156.0,,-156.0,-156.0,-168.0,,189.0,,,,
1,4.0,Aruba,ABW,62.0,106314.0,10461.12,2021-01-26,0.0,2.0,2021-07-01,2020-11-22,EPI_SECOND_WAVE,27435.510000000002,10.064525838553719,0.0,-156.0,-169.0,-156.0,-156.0,-156.0,,-156.0,-156.0,-168.0,,189.0,,,,
2,5.0,Afghanistan,AFG,1466.0,38041754.0,13709.214999999998,2020-04-07,0.0,1.0,2020-10-04,2020-02-24,EPI_THIRD_WAVE,20697.815000000002,1.3043562607549588,0.0,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,488.0,133.0,133.0,,,,
3,5.0,Afghanistan,AFG,980.0,38041754.0,1898.5699999999995,2020-10-09,0.0,2.0,2021-03-04,2020-10-04,EPI_THIRD_WAVE,20697.815000000002,1.3043562607549588,0.0,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,488.0,133.0,133.0,,,,
4,5.0,Afghanistan,AFG,0.0,38041754.0,5077.535,2021-03-14,0.0,3.0,2021-09-19,2021-03-04,EPI_THIRD_WAVE,20697.815000000002,1.3043562607549588,0.0,-10.0,-24.0,-14.0,-37.0,-2.0,-10.0,-13.0,5.0,488.0,133.0,133.0,,,,
5,3.0,Angola,AGO,511.0,31825295.0,24449.82,2020-06-24,0.0,1.0,2021-02-24,2020-03-21,EPI_SECOND_WAVE,32747.6,0.28279392225586597,0.0,-89.0,-92.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,-96.0,119.0,,,,,
6,3.0,Angola,AGO,0.0,31825295.0,7989.405000000001,2021-03-03,0.0,2.0,2021-09-19,2021-02-24,EPI_SECOND_WAVE,32747.6,0.28279392225586597,0.0,-89.0,-92.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,-96.0,119.0,,,,,
7,4.0,Albania,ALB,1199.0,2854191.0,20268.434999999998,2020-03-30,257508.0,1.0,2021-01-05,2020-03-09,EPI_SECOND_WAVE,32097.04,8.604890142250467,2602.522045651465,-17.0,-21.0,,-21.0,19.0,-17.0,-17.0,-17.0,-7.0,424.0,57.0,-18.0,9.0,105.0,290.0
8,4.0,Albania,ALB,1263.0,2854191.0,9743.100000000002,2021-01-06,488666.5,2.0,2021-07-01,2021-01-05,EPI_SECOND_WAVE,32097.04,8.604890142250467,2602.522045651465,-17.0,-21.0,,-21.0,19.0,-17.0,-17.0,-17.0,-7.0,424.0,57.0,-18.0,9.0,105.0,290.0
9,2.0,Andorra,AND,127.0,77142.0,23497.079999999998,2020-03-31,0.0,1.0,2021-07-01,2020-03-03,EPI_FIRST_WAVE,26998.055,16.46314588680615,0.0,393.0,-15.0,-17.0,98.0,174.0,,393.0,,,18.0,120.0,,,,
10,3.0,United Arab Emirates,ARE,358.0,9770529.0,10572.240000000002,2020-04-05,5982437.5,1.0,2020-08-14,2020-01-29,EPI_SECOND_WAVE,31173.480000000003,1.8535332119683592,59229.559115990545,-13.0,-28.0,,-20.0,-9.0,-1.0,-13.0,-13.0,-11.0,8.0,-64.0,-56.0,-43.0,-19.0,19.0
11,3.0,United Arab Emirates,ARE,0.0,9770529.0,20583.17,2020-08-21,0.0,2.0,2021-09-19,2020-08-14,EPI_SECOND_WAVE,31173.480000000003,1.8535332119683592,59229.559115990545,-13.0,-28.0,,-20.0,-9.0,-1.0,-13.0,-13.0,-11.0,8.0,-64.0,-56.0,-43.0,-19.0,19.0
12,3.0,Argentina,ARG,41534.0,44938712.0,24669.09,2020-03-28,4138092.0,1.0,2020-12-19,2020-03-03,EPI_SECOND_WAVE,45824.535,20.843499030412797,2512.2835073688807,-9.0,-12.0,-9.0,-17.0,-9.0,-5.0,-9.0,-8.0,-12.0,,-24.0,-1.0,24.0,94.0,281.0
13,3.0,Argentina,ARG,0.0,44938712.0,20705.49,2020-12-20,0.0,2.0,2021-09-19,2020-12-19,EPI_SECOND_WAVE,45824.535,20.843499030412797,2512.2835073688807,-9.0,-12.0,-9.0,-17.0,-9.0,-5.0,-9.0,-8.0,-12.0,,-24.0,-1.0,24.0,94.0,281.0
14,6.0,Armenia,ARM,887.0,2957731.0,,2020-04-09,199474.99999999997,1.0,2020-09-03,2020-03-02,EPI_THIRD_WAVE,,15.271841827400802,3863.324622827431,,,,,,,,,,,,-24.0,-9.0,30.0,176.0
15,6.0,Armenia,ARM,2251.0,2957731.0,,2020-09-06,434917.1666666667,2.0,2021-02-11,2020-09-03,EPI_THIRD_WAVE,,15.271841827400802,3863.324622827431,,,,,,,,,,,,-24.0,-9.0,30.0,176.0
16,6.0,Armenia,ARM,1387.0,2957731.0,,2021-02-15,513413.0,3.0,2021-07-01,2021-02-11,EPI_THIRD_WAVE,,15.271841827400802,3863.324622827431,,,,,,,,,,,,-24.0,-9.0,30.0,176.0
17,4.0,Australia,AUS,102.0,25364307.0,6805.104999999998,2020-03-27,1485497.0,1.0,2020-06-13,2020-01-25,EPI_SECOND_WAVE,35244.85,0.3587718757701521,8179.432223399598,-3.0,-3.0,128.0,-9.0,2.0,,6.0,-8.0,-7.0,31.0,-62.0,2.0,2.0,6.0,97.0
18,4.0,Australia,AUS,808.0,25364307.0,23349.260000000002,2020-07-17,19298167.0,2.0,2021-07-01,2020-06-13,EPI_SECOND_WAVE,35244.85,0.3587718757701521,8179.432223399598,-3.0,-3.0,128.0,-9.0,2.0,,6.0,-8.0,-7.0,31.0,-62.0,2.0,2.0,6.0,97.0
19,4.0,Austria,AUT,697.0,8877067.0,6098.525000000001,2020-03-20,454632.0,1.0,2020-06-04,2020-02-26,EPI_SECOND_WAVE,34175.875,11.827104605609037,62159.019414858536,-4.0,242.0,-4.0,-9.0,-4.0,,-4.0,-7.0,,70.0,10.0,13.0,13.0,13.0,133.0
20,4.0,Austria,AUT,9802.0,8877067.0,24322.355,2020-06-12,54732854.0,2.0,2021-07-01,2020-06-04,EPI_SECOND_WAVE,34175.875,11.827104605609037,62159.019414858536,-4.0,242.0,-4.0,-9.0,-4.0,,-4.0,-7.0,,70.0,10.0,13.0,13.0,13.0,133.0
21,6.0,Azerbaijan,AZE,596.0,10023318.0,17762.72,2020-04-12,0.0,1.0,2020-10-06,2020-02-29,EPI_THIRD_WAVE,41479.255000000005,4.962428608969605,549.5246184945943,-24.0,-40.0,-12.0,-29.0,-29.0,70.0,-12.0,-24.0,4.0,224.0,-44.0,382.0,382.0,382.0,382.0
22,6.0,Azerbaijan,AZE,2575.0,10023318.0,9589.015,2020-10-12,0.0,2.0,2021-02-13,2020-10-06,EPI_THIRD_WAVE,41479.255000000005,4.962428608969605,549.5246184945943,-24.0,-40.0,-12.0,-29.0,-29.0,70.0,-12.0,-24.0,4.0,224.0,-44.0,382.0,382.0,382.0,382.0
23,6.0,Azerbaijan,AZE,1807.0,10023318.0,9709.510000000002,2021-02-16,550806.0,3.0,2021-07-01,2021-02-13,EPI_THIRD_WAVE,41479.255000000005,4.962428608969605,549.5246184945943,-24.0,-40.0,-12.0,-29.0,-29.0,70.0,-12.0,-24.0,4.0,224.0,-44.0,382.0,382.0,382.0,382.0
24,6.0,Belgium,BEL,9664.0,11484055.0,8713.744999999999,2020-03-15,1369725.0,1.0,2020-07-08,2020-02-04,EPI_THIRD_WAVE,33325.62,21.92518235065924,13376.829003344203,3.0,379.0,3.0,-1.0,3.0,,3.0,-1.0,5.0,406.0,-18.0,-11.0,-1.0,24.0,98.0
25,6.0,Belgium,BEL,10274.0,11484055.0,10243.194999999998,2020-07-14,5760179.0,2.0,2021-01-05,2020-07-08,EPI_THIRD_WAVE,33325.62,21.92518235065924,13376.829003344203,3.0,379.0,3.0,-1.0,3.0,,3.0,-1.0,5.0,406.0,-18.0,-11.0,-1.0,24.0,98.0
26,6.0,Belgium,BEL,5303.0,11484055.0,10581.749999999998,2021-01-06,8306414.0,3.0,2021-07-01,2021-01-05,EPI_THIRD_WAVE,33325.62,21.92518235065924,13376.829003344203,3.0,379.0,3.0,-1.0,3.0,,3.0,-1.0,5.0,406.0,-18.0,-11.0,-1.0,24.0,98.0
27,4.0,Benin,BEN,41.0,11801151.0,9981.260000000002,2020-06-19,0.0,1.0,2020-10-06,2020-03-17,EPI_SECOND_WAVE,22942.379999999997,0.08812699710392656,0.0,-81.0,-81.0,,-94.0,-81.0,-81.0,,-81.0,-33.0,444.0,-104.0,,,,
28,4.0,Benin,BEN,63.0,11801151.0,9862.814999999999,2021-02-01,0.0,2.0,2021-07-01,2020-10-06,EPI_SECOND_WAVE,22942.379999999997,0.08812699710392656,0.0,-81.0,-81.0,,-94.0,-81.0,-81.0,,-81.0,-33.0,444.0,-104.0,,,,
29,2.0,Burkina Faso,BFA,169.0,20321378.0,17192.739999999998,2020-03-30,0.0,1.0,2021-07-01,2020-03-11,EPI_FIRST_WAVE,18448.265000000003,0.08267155898581287,0.0,-9.0,-14.0,,-18.0,,-7.0,-9.0,-9.0,-9.0,164.0,-21.0,,,,
30,5.0,Bangladesh,BGD,8337.0,163046161.0,27529.445000000007,2020-04-06,3925409.0,1.0,2021-02-19,2020-03-08,EPI_THIRD_WAVE,43871.86,0.8982732196926734,405.52914336940444,-18.0,-21.0,-18.0,-16.0,-18.0,-18.0,-18.0,-18.0,385.0,295.0,345.0,9.0,40.0,153.0,
31,5.0,Bangladesh,BGD,4072.0,163046161.0,7741.3150000000005,2021-02-21,1922564.0,2.0,2021-05-24,2021-02-19,EPI_THIRD_WAVE,43871.86,0.8982732196926734,405.52914336940444,-18.0,-21.0,-18.0,-16.0,-18.0,-18.0,-18.0,-18.0,385.0,295.0,345.0,9.0,40.0,153.0,
32,5.0,Bangladesh,BGD,0.0,163046161.0,7983.014999999998,2021-05-25,0.0,3.0,2021-09-19,2021-05-24,EPI_THIRD_WAVE,43871.86,0.8982732196926734,405.52914336940444,-18.0,-21.0,-18.0,-16.0,-18.0,-18.0,-18.0,-18.0,385.0,295.0,345.0,9.0,40.0,153.0,
