,countrycode,adm_area_1,date,confirmed,new_per_day,new_per_day_smooth,latitude,longitude
0,USA,Alabama,2020-03-13,6,6.0,,32.793242436888086,-86.82796680140542
1,USA,Alabama,2020-03-14,12,6.0,,32.793242436888086,-86.82796680140542
2,USA,Alabama,2020-03-15,23,11.0,,32.793242436888086,-86.82796680140542
3,USA,Alabama,2020-03-16,29,6.0,,32.793242436888086,-86.82796680140542
4,USA,Alabama,2020-03-17,39,10.0,,32.793242436888086,-86.82796680140542
5,USA,Alabama,2020-03-18,51,12.0,,32.793242436888086,-86.82796680140542
6,USA,Alabama,2020-03-19,78,27.0,11.142857142857142,32.793242436888086,-86.82796680140542
7,USA,Alabama,2020-03-20,106,28.0,14.285714285714286,32.793242436888086,-86.82796680140542
8,USA,Alabama,2020-03-21,131,25.0,17.0,32.793242436888086,-86.82796680140542
9,USA,Alabama,2020-03-22,157,26.0,19.142857142857142,32.793242436888086,-86.82796680140542
10,USA,Alabama,2020-03-23,196,39.0,23.857142857142858,32.793242436888086,-86.82796680140542
11,USA,Alabama,2020-03-24,242,46.0,29.0,32.793242436888086,-86.82796680140542
12,USA,Alabama,2020-03-25,386,144.0,47.857142857142854,32.793242436888086,-86.82796680140542
13,USA,Alabama,2020-03-26,538,152.0,65.71428571428571,32.793242436888086,-86.82796680140542
14,USA,Alabama,2020-03-27,639,101.0,76.14285714285714,32.793242436888086,-86.82796680140542
15,USA,Alabama,2020-03-28,720,81.0,84.14285714285714,32.793242436888086,-86.82796680140542
16,USA,Alabama,2020-03-29,830,110.0,96.14285714285714,32.793242436888086,-86.82796680140542
17,USA,Alabama,2020-03-30,947,117.0,107.28571428571429,32.793242436888086,-86.82796680140542
18,USA,Alabama,2020-03-31,999,52.0,108.14285714285714,32.793242436888086,-86.82796680140542
19,USA,Alabama,2020-04-01,1108,109.0,103.14285714285714,32.793242436888086,-86.82796680140542
20,USA,Alabama,2020-04-02,1270,162.0,104.57142857142857,32.793242436888086,-86.82796680140542
21,USA,Alabama,2020-04-03,1535,265.0,128.0,32.793242436888086,-86.82796680140542
22,USA,Alabama,2020-04-04,1632,97.0,130.28571428571428,32.793242436888086,-86.82796680140542
23,USA,Alabama,2020-04-05,1840,208.0,144.28571428571428,32.793242436888086,-86.82796680140542
24,USA,Alabama,2020-04-06,2005,165.0,151.14285714285714,32.793242436888086,-86.82796680140542
25,USA,Alabama,2020-04-07,2197,192.0,171.14285714285714,32.793242436888086,-86.82796680140542
26,USA,Alabama,2020-04-08,2498,301.0,198.57142857142858,32.793242436888086,-86.82796680140542
27,USA,Alabama,2020-04-09,2838,340.0,224.0,32.793242436888086,-86.82796680140542
28,USA,Alabama,2020-04-10,3008,170.0,210.42857142857142,32.793242436888086,-86.82796680140542
29,USA,Alabama,2020-04-11,3262,254.0,232.85714285714286,32.793242436888086,-86.82796680140542
30,USA,Alabama,2020-04-12,3583,321.0,249.0,32.793242436888086,-86.82796680140542
