,countrycode,date,location,dead_per_day_smooth
0,ALB,11/12/2020,330,15.14285714
1,ALB,9/3/2021,418,19.64285714
2,ARE,4/3/2021,413,15.28571429
3,ARG,13/10/2020,271,579.9285714
4,ARM,24/6/2020,160,11.35714286
5,ARM,25/11/2020,314,28.85714286
6,ARM,21/4/2021,461,21.21428571
7,AUT,12/4/2020,87,20.35714286
8,AUT,13/12/2020,332,110.1428571
9,AZE,26/12/2020,345,41.92857143
10,AZE,19/4/2021,459,33.07142857
11,BEL,17/4/2020,92,271.4285714
12,BEL,16/11/2020,305,198
13,BGR,8/12/2020,327,138.6428571
14,BGR,12/4/2021,452,122
15,BHR,7/6/2021,508,21.35714286
16,BIH,23/11/2020,312,54.71428571
17,BIH,11/4/2021,451,75.85714286
18,BOL,8/9/2020,236,178.5
19,BOL,14/2/2021,395,62.92857143
20,BRA,27/7/2020,193,1070
21,BWA,26/2/2021,407,9.357142857
22,CAN,14/5/2020,119,164.6428571
23,CAN,28/1/2021,378,155
24,CHE,11/4/2020,86,53.5
25,CHE,25/11/2020,314,90.64285714
26,CHL,22/6/2020,158,203
27,CHN,22/2/2020,37,117.0714286
28,COL,30/1/2021,380,387.2857143
29,CRI,2/10/2020,260,18.21428571
30,CZE,17/3/2021,426,214.7857143
31,DEU,22/4/2020,97,215.5714286
32,DEU,20/1/2021,370,873.7857143
33,DNK,15/4/2020,90,14.92857143
34,DNK,24/1/2021,374,30.5
35,DOM,9/9/2020,237,21.71428571
36,DOM,8/2/2021,389,22.71428571
37,ECU,11/5/2020,116,110.7857143
38,ECU,16/9/2020,244,313.7142857
39,EGY,28/6/2020,164,87.42857143
40,ESP,9/4/2020,84,828.3571429
41,ESP,5/2/2021,386,521.0714286
42,EST,10/4/2021,450,12.35714286
43,FIN,21/4/2020,96,9.571428571
44,FRA,17/4/2020,92,957.7857143
45,FRA,21/11/2020,310,598
46,GBR,19/4/2020,94,912.3571429
47,GBR,28/1/2021,378,1222.857143
48,GEO,24/12/2020,343,44.21428571
49,GRC,10/12/2020,329,99.07142857
50,GRC,27/4/2021,467,80.42857143
51,GTM,24/7/2020,190,41.35714286
52,HND,2/8/2020,199,34.28571429
53,HRV,26/12/2020,345,80.64285714
54,HRV,5/5/2021,475,44.5
55,HUN,25/4/2020,100,12.64285714
56,HUN,12/4/2021,452,253.3571429
57,IND,21/9/2020,249,1160
58,IND,24/5/2021,494,4114.571429
59,IRL,27/4/2020,102,41.42857143
60,IRL,5/2/2021,386,55.14285714
61,IRN,27/11/2020,316,469.1428571
62,IRN,2/5/2021,472,411.6428571
63,IRQ,9/7/2020,175,103.5
64,ISR,14/10/2020,272,36.78571429
65,ISR,28/1/2021,378,55.28571429
66,ITA,4/4/2020,79,760.6428571
67,ITA,5/12/2020,324,734.5
68,JOR,24/11/2020,313,71.92857143
69,JOR,4/4/2021,444,95.85714286
70,JPN,12/2/2021,393,94.42857143
71,KAZ,10/8/2020,207,60.57142857
72,KGZ,31/7/2020,197,54.35714286
73,KWT,8/6/2020,144,7.714285714
74,LBN,9/2/2021,390,91.64285714
75,LBY,24/3/2021,433,19.07142857
76,LSO,19/2/2021,400,7.642857143
77,LTU,3/1/2021,353,46.14285714
78,LUX,15/12/2020,334,7
79,LVA,7/1/2021,357,21.71428571
80,MAR,25/11/2020,314,76.5
81,MDA,10/4/2021,450,43.42857143
82,MEX,3/2/2021,384,1275.142857
83,MKD,3/12/2020,322,30.57142857
84,MKD,18/4/2021,458,39.92857143
85,MNE,20/3/2021,429,9.928571429
86,MRT,11/1/2021,361,11.35714286
87,MWI,4/2/2021,385,29.07142857
88,NLD,12/4/2020,87,141.6428571
89,NLD,17/1/2021,367,100.1428571
90,NOR,17/4/2020,92,7.071428571
91,NPL,11/11/2020,300,33.28571429
92,NPL,24/5/2021,494,190.8571429
93,OMN,4/8/2020,201,11.21428571
94,PAK,25/6/2020,161,110.5
95,PAK,2/5/2021,472,133.0714286
96,PAN,1/8/2020,198,28.35714286
97,PAN,19/1/2021,369,46.21428571
98,PER,17/8/2020,214,633.2142857
99,PER,25/4/2021,465,811.5
100,POL,21/4/2021,461,555
101,PRI,16/5/2020,121,8.071428571
102,PRI,24/12/2020,343,13.5
103,PRT,25/4/2020,100,31.78571429
104,PRT,6/2/2021,387,272.8571429
105,PSE,24/12/2020,343,25.92857143
106,PSE,21/4/2021,461,24.92857143
107,RKS,13/8/2020,210,12.07142857
108,RKS,10/12/2020,329,14.28571429
109,RKS,21/4/2021,461,11.85714286
110,ROU,30/11/2020,319,201.3571429
111,SAU,11/7/2020,177,48.35714286
112,SLV,11/8/2020,208,11.07142857
113,SLV,21/1/2021,371,10.57142857
114,SRB,21/7/2020,187,11.78571429
115,SRB,11/12/2020,330,57.57142857
116,SVK,23/2/2021,404,100
117,SVN,11/12/2020,330,55.64285714
118,SWE,21/4/2020,96,97.28571429
119,SWE,9/1/2021,359,94.71428571
120,SWZ,30/1/2021,380,15.42857143
121,TUN,30/1/2021,380,76.5
122,TUR,27/4/2020,102,114.7857143
123,TUR,31/12/2020,350,251.5
124,TUR,4/5/2021,474,351.7142857
125,UKR,17/4/2021,457,390.0714286
126,USA,29/4/2020,104,2388.357143
127,USA,19/1/2021,369,3317.071429
128,ZAF,10/8/2020,207,259.9285714
129,ZAF,16/1/2021,366,571.2857143
130,ZWE,27/1/2021,377,39.42857143
