case_rate,class,class_coarse,country,countrycode,date_peak_1,date_peak_2,date_peak_3,date_peak_4,date_peak_5,gni_per_capita,mortality_rate,peak_1,peak_1_per_rel_to,peak_2,peak_2_per_rel_to,peak_3,peak_3_per_rel_to,peak_4,peak_4_per_rel_to,peak_5,peak_5_per_rel_to,peak_case_rate,population,population_density,rel_to_constant,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,total_confirmed,total_dead,wave_cfr_1,wave_duration_1,wave_duration_2,wave_duration_3,wave_duration_4,wave_duration_5,wave_end_1,wave_end_2,wave_end_3,wave_end_4,wave_end_5,wave_start_1,wave_start_2,wave_start_3,wave_start_4,wave_start_5,date_peak_6,peak_6,peak_6_per_rel_to,wave_duration_6,wave_end_6,wave_start_6,date_peak_7,peak_7,peak_7_per_rel_to,wave_duration_7,wave_end_7,wave_start_7,date_peak_8,peak_8,peak_8_per_rel_to,wave_duration_8,wave_end_8,wave_start_8
,11.0,3.0,Total,ALL,2020-11-15,2021-05-09,2022-01-30,2022-07-17,2022-10-16,,,317293.78571428574,,571814.3571428572,,1866349.7142857143,,555027.6428571428,,268662.5,,,,,10000.0,2020-02-27,2020-02-02,2020-01-05,2020-01-24,,324001516.0,3571891.0,,413.0,133.0,336.0,98.0,63.0,2021-02-21,2021-07-04,2022-06-05,2022-09-11,2022-11-13,2020-01-05,2021-02-21,2021-07-04,2022-06-05,2022-09-11,,,,,,,,,,,,,,,,,,
,12.0,3.0,Armenia,AM,2020-07-05,2020-11-08,2021-04-04,2021-10-31,2022-02-13,,,595.5714285714286,,2041.9285714285713,,922.9285714285714,,1881.0714285714287,,2853.285714285714,,,,,10000.0,2020-04-12,2020-04-09,2020-03-29,2020-04-03,,445583.0,8708.0,,182.0,154.0,126.0,203.0,154.0,2020-09-06,2021-02-07,2021-06-13,2022-01-02,2022-06-05,2020-03-08,2020-09-06,2021-02-07,2021-06-13,2022-01-02,2022-09-11,318.07142857142856,,203.0,2022-12-25,2022-06-05,,,,,,,,,,,,
,14.0,3.0,Austria,AT,2020-04-05,2020-11-15,2021-04-04,2021-11-28,2022-03-20,,,540.5,,6582.357142857143,,3074.6428571428573,,13186.214285714286,,42907.5,,,,,10000.0,2020-03-21,2020-03-20,2020-03-15,2020-03-17,,5678345.0,21571.0,,111.0,245.0,140.0,182.0,154.0,2020-06-14,2021-02-14,2021-07-04,2022-01-02,2022-06-05,2020-02-24,2020-06-14,2021-02-14,2021-07-04,2022-01-02,2022-07-24,11650.785714285714,,98.0,2022-09-11,2022-06-05,2022-10-16,13404.0,,105.0,2022-12-25,2022-09-11,,,,,,
,9.0,3.0,Brazil,BR,2020-08-09,2021-03-28,2022-02-06,2022-07-17,,,,44219.71428571428,,74359.57142857143,,180289.2142857143,,58289.57142857143,,,,,,,10000.0,2020-03-23,2020-03-22,2020-03-16,2020-03-19,,36124337.0,692743.0,,252.0,413.0,126.0,175.0,,2020-11-08,2021-12-26,2022-05-01,2022-10-23,,2020-03-01,2020-11-08,2021-12-26,2022-05-01,,,,,,,,,,,,,,,,,,,
,16.0,3.0,Switzerland,CH,2020-03-29,2020-11-08,2021-04-25,2021-09-12,2022-01-30,,,985.5,,7660.5,,2041.9285714285713,,2656.3571428571427,,34476.57142857143,,,,,10000.0,2020-03-11,2020-03-12,2020-03-05,2020-03-10,,4375085.0,13865.0,,104.0,266.0,126.0,105.0,133.0,2020-06-07,2021-02-28,2021-07-04,2021-10-17,2022-02-27,2020-02-24,2020-06-07,2021-02-28,2021-07-04,2021-10-17,2022-03-20,26793.428571428572,,91.0,2022-05-29,2022-02-27,2022-07-17,7613.5,,112.0,2022-09-18,2022-05-29,2022-10-16,5083.071428571428,,98.0,2022-12-25,2022-09-18
,12.0,3.0,Chile,CL,2020-06-21,2021-06-13,2021-11-21,2022-02-20,2022-06-19,,,7785.928571428572,,7088.285714285715,,2419.5714285714284,,34586.57142857143,,10187.785714285714,,,,,10000.0,2020-03-25,2020-03-31,2020-03-24,2020-03-28,,5006159.0,63012.0,,266.0,301.0,105.0,119.0,147.0,2020-11-22,2021-09-19,2022-01-02,2022-05-01,2022-09-25,2020-03-01,2020-11-22,2021-09-19,2022-01-02,2022-05-01,2022-11-20,6118.071428571428,,91.0,2022-12-25,2022-09-25,,,,,,,,,,,,
,14.0,3.0,Czechia,CZ,2020-04-05,2020-11-01,2021-01-10,2021-03-07,2021-12-05,,,246.07142857142858,,11926.42857142857,,11618.5,,12184.285714285714,,17971.285714285714,,,,,10000.0,2020-03-22,2020-03-27,2020-03-23,2020-03-25,,4577526.0,42099.0,,97.0,182.0,56.0,147.0,189.0,2020-06-07,2020-12-06,2021-01-31,2021-06-27,2022-01-02,2020-03-02,2020-06-07,2020-12-06,2021-01-31,2021-06-27,2022-02-06,40445.21428571428,,154.0,2022-06-05,2022-01-02,2022-10-09,3743.8571428571427,,203.0,2022-12-25,2022-06-05,,,,,,
,14.0,3.0,Germany,DE,2020-04-05,2020-12-20,2021-04-25,2021-12-05,2022-03-27,,,5003.428571428572,,23628.714285714286,,20478.5,,56528.71428571428,,226528.2142857143,,,,,10000.0,2020-03-08,2020-02-23,2020-01-05,2020-01-24,,37241936.0,165738.0,,161.0,252.0,133.0,182.0,154.0,2020-06-14,2021-02-21,2021-07-04,2022-01-02,2022-06-05,2020-01-05,2020-06-14,2021-02-21,2021-07-04,2022-01-02,2022-07-17,93177.07142857143,,98.0,2022-09-11,2022-06-05,2022-10-16,88504.21428571429,,105.0,2022-12-25,2022-09-11,,,,,,
,13.0,3.0,Estonia,EE,2020-04-05,2021-03-21,2021-10-31,2022-02-06,2022-08-07,,,426.7142857142857,,1443.857142857143,,1575.5,,6365.428571428572,,319.14285714285717,,,,,10000.0,2020-03-23,2020-03-23,2020-03-23,2020-03-23,,594217.0,2727.0,,126.0,364.0,161.0,175.0,98.0,2020-07-05,2021-07-04,2021-12-12,2022-06-05,2022-09-11,2020-03-01,2020-07-05,2021-07-04,2021-12-12,2022-06-05,2022-10-09,179.42857142857142,,77.0,2022-11-27,2022-09-11,,,,,,,,,,,,
,10.0,3.0,Egypt,EG,2020-06-21,2021-01-10,2021-05-23,2022-02-13,2022-07-31,,,1510.4285714285713,,1248.857142857143,,1172.7142857142858,,2238.785714285714,,34.142857142857146,,,,,10000.0,2020-04-05,2020-03-22,2020-03-12,2020-03-18,,515514.0,24802.0,,238.0,126.0,168.0,308.0,203.0,2020-10-11,2021-02-14,2021-08-01,2022-06-05,2022-12-25,2020-02-16,2020-10-11,2021-02-14,2021-08-01,2022-06-05,,,,,,,,,,,,,,,,,,
